Shares,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Value,tic
8706,,Sale at price 225.00 per share.,KONDO CHRISTOPHER,Officer,,2024-08-15,D,1958850.0,AAPL
5178,,Sale at price 216.50 per share.,KONDO CHRISTOPHER,Officer,,2024-08-09,D,1121037.0,AAPL
4500,,Stock Gift at price 0.00 per share.,ADAMS KATHERINE L,General Counsel,,2024-08-07,D,0.0,AAPL
100000,,Sale at price 206.42 - 207.05 per share.,ADAMS KATHERINE L,General Counsel,,2024-08-05,D,20643512.0,AAPL
75000,,Sale at price 191.58 per share.,LEVINSON ARTHUR D,Director,,2024-05-30,D,14368500.0,AAPL
4999,,Sale at price 190.40 per share.,KONDO CHRISTOPHER,Officer,,2024-05-15,D,951785.0,AAPL
1850,,Stock Gift at price 0.00 per share.,ADAMS KATHERINE L,General Counsel,,2024-05-10,D,0.0,AAPL
5230,,Sale at price 233.56 per share.,PURDUE DAVID R.,Officer,,2026-03-04,D,1221519.0,ABBV
18668,,Sale at price 233.51 - 235.26 per share.,SIATIS PERRY C.,General Counsel,,2026-03-02,D,4375549.0,ABBV
22381,,Sale at price 230.00 per share.,SIATIS PERRY C.,General Counsel,,2026-02-25,D,5147630.0,ABBV
22381,,Conversion of Exercise of derivative security at price 149.62 - 192.86 per share.,SIATIS PERRY C.,General Counsel,,2026-02-25,D,3863458.0,ABBV
82439,,Stock Award(Grant) at price 0.00 per share.,MICHAEL ROBERT A.,Chief Executive Officer,,2026-02-18,D,0.0,ABBV
53749,,Stock Award(Grant) at price 0.00 per share.,STEWART JEFFREY RYAN,Officer,,2026-02-18,D,0.0,ABBV
29057,,Stock Award(Grant) at price 0.00 per share.,DONOGHOE NICHOLAS,Officer,,2026-02-18,D,0.0,ABBV
48838,,Stock Award(Grant) at price 0.00 per share.,REENTS SCOTT T.,Chief Financial Officer,,2026-02-18,D,0.0,ABBV
33518,,Stock Award(Grant) at price 0.00 per share.,SIATIS PERRY C.,General Counsel,,2026-02-18,D,0.0,ABBV
18137,,Stock Award(Grant) at price 0.00 per share.,THAKKAR ROOPAL,Officer,,2026-02-18,D,0.0,ABBV
6071,,Stock Award(Grant) at price 0.00 per share.,PURDUE DAVID R.,Officer,,2026-02-18,D,0.0,ABBV
2460,,Stock Award(Grant) at price 0.00 per share.,CRUM DEMETRIS D,Officer,,2026-02-18,D,0.0,ABBV
36811,,Stock Award(Grant) at price 0.00 per share.,SALEKI-GERHARDT AZITA,Chief Operating Officer,,2026-02-18,D,0.0,ABBV
42370,,Sale at price 198.42 per share.,SALEKI-GERHARDT AZITA,Chief Operating Officer,,2025-08-12,D,8407055.0,ABBV
42370,,Conversion of Exercise of derivative security at price 54.86 per share.,SALEKI-GERHARDT AZITA,Chief Operating Officer,,2025-08-12,D,2324418.0,ABBV
13295,,Sale at price 198.27 - 198.59 per share.,DONOGHOE NICHOLAS,Officer,,2025-08-05,D,2639253.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,FREYMAN THOMAS C,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,FALK THOMAS J,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,AUSTIN ROXANNE SCHUH,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,TILTON GLENN FLETCHER,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,WADDELL FREDERICK H,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,MEYER MELODY B,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,ROBERTS REBECCA B.,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,DAVIS JENNIFER L,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,QUAGGIN SUSAN E,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,RAPP EDWARD J,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,ALPERN ROBERT J,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,HART BRETT J,Director,,2025-05-09,D,0.0,ABBV
1203,,Stock Award(Grant) at price 0.00 per share.,BURNSIDE WILLIAM H L,Director,,2025-05-09,D,0.0,ABBV
2450,,Stock Gift at price 0.00 per share.,GONZALEZ RICHARD A,Director,,2025-03-31,D,0.0,ABBV
58832,,Sale at price 209.49 - 210.54 per share.,STEWART JEFFREY RYAN,Officer,,2025-03-31,D,12359504.0,ABBV
25700,,Conversion of Exercise of derivative security at price 79.02 per share.,STEWART JEFFREY RYAN,Officer,,2025-03-31,D,2030814.0,ABBV
17644,,Sale at price 212.34 per share.,REENTS SCOTT T.,Chief Financial Officer,,2025-03-14,D,3746527.0,ABBV
98628,,Sale at price 205.11 - 210.53 per share.,GONZALEZ RICHARD A,Director,,2025-03-03,D,20263020.0,ABBV
27900,,Sale at price 205.38 - 210.00 per share.,SIATIS PERRY C.,General Counsel,,2025-03-03,D,5822402.0,ABBV
18008,,Conversion of Exercise of derivative security at price 144.54 - 175.28 per share.,SIATIS PERRY C.,General Counsel,,2025-03-03,D,2879040.0,ABBV
21250,,Sale at price 209.80 - 211.32 per share.,RICHMOND TIMOTHY J,Officer,,2025-03-03,D,4472039.0,ABBV
18944,,Sale at price 203.40 - 203.41 per share.,BUCKBEE KEVIN K,Officer,,2025-02-26,D,3853372.0,ABBV
16260,,Conversion of Exercise of derivative security at price 93.50 - 105.92 per share.,BUCKBEE KEVIN K,Officer,,2025-02-26,D,1601313.0,ABBV
29917,,Sale at price 201.97 - 203.64 per share.,RICHMOND TIMOTHY J,Officer,,2025-02-26,D,6070036.0,ABBV
22210,,Conversion of Exercise of derivative security at price 114.36 per share.,RICHMOND TIMOTHY J,Officer,,2025-02-26,D,2539936.0,ABBV
5778,,Sale at price 197.40 - 198.12 per share.,SIATIS PERRY C.,General Counsel,,2025-02-20,D,1143453.0,ABBV
171837,,Stock Award(Grant) at price 0.00 per share.,GONZALEZ RICHARD A,Director,,2025-02-13,D,0.0,ABBV
61362,,Stock Award(Grant) at price 0.00 per share.,MICHAEL ROBERT A.,Chief Executive Officer,,2025-02-13,D,0.0,ABBV
45651,,Stock Award(Grant) at price 0.00 per share.,STEWART JEFFREY RYAN,Officer,,2025-02-13,D,0.0,ABBV
25345,,Stock Award(Grant) at price 0.00 per share.,DONOGHOE NICHOLAS,Officer,,2025-02-13,D,0.0,ABBV
24763,,Stock Award(Grant) at price 0.00 per share.,REENTS SCOTT T.,Chief Financial Officer,,2025-02-13,D,0.0,ABBV
17762,,Stock Award(Grant) at price 0.00 per share.,SIATIS PERRY C.,General Counsel,,2025-02-13,D,0.0,ABBV
8347,,Stock Award(Grant) at price 0.00 per share.,BUCKBEE KEVIN K,Officer,,2025-02-13,D,0.0,ABBV
10555,,Stock Award(Grant) at price 0.00 per share.,THAKKAR ROOPAL,Officer,,2025-02-13,D,0.0,ABBV
38154,,Stock Award(Grant) at price 0.00 per share.,RICHMOND TIMOTHY J,Officer,,2025-02-13,D,0.0,ABBV
38498,,Stock Award(Grant) at price 0.00 per share.,SALEKI-GERHARDT AZITA,Chief Operating Officer,,2025-02-13,D,0.0,ABBV
1800,,Sale at price 172.24 per share.,BUCKBEE KEVIN K,Officer,,2024-12-16,D,310032.0,ABBV
1800,,Conversion of Exercise of derivative security at price 93.50 per share.,BUCKBEE KEVIN K,Officer,,2024-12-16,D,168300.0,ABBV
57670,,Stock Gift at price 0.00 per share.,GONZALEZ RICHARD A,Officer and Director,,2024-09-30,D,0.0,ABBV
25630,,Stock Gift at price 0.00 per share.,SALEKI-GERHARDT AZITA,Chief Operating Officer,,2024-09-24,D,0.0,ABBV
66500,,Sale at price 186.52 per share.,GONZALEZ RICHARD A,Officer and Director,,2024-08-05,D,12403580.0,ABBV
282845,,Sale at price 175.00 per share.,GONZALEZ RICHARD A,Officer and Director,,2024-07-17,D,49497875.0,ABBV
282845,,Conversion of Exercise of derivative security at price 61.36 - 93.50 per share.,GONZALEZ RICHARD A,Officer and Director,,2024-07-17,D,21919048.0,ABBV
6000,,Stock Gift at price 0.00 per share.,GONZALEZ RICHARD A,Chief Executive Officer,,2024-06-28,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,FREYMAN THOMAS C,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,AUSTIN ROXANNE SCHUH,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,TILTON GLENN FLETCHER,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,WADDELL FREDERICK H,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,MEYER MELODY B,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,ROBERTS REBECCA B.,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,DAVIS JENNIFER L,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,QUAGGIN SUSAN E,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,RAPP EDWARD J,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,ALPERN ROBERT J,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,HART BRETT J,Director,,2024-05-03,D,0.0,ABBV
1322,,Stock Award(Grant) at price 0.00 per share.,BURNSIDE WILLIAM H L,Director,,2024-05-03,D,0.0,ABBV
35565,,Sale at price 145.25 - 147.00 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2026-04-22,I,5180945.0,ABNB
35565,,,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2026-04-22,I,,ABNB
58000,,Sale at price 140.77 - 143.36 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2026-04-20,I,8270238.0,ABNB
3750,,Sale at price 130.99 per share.,MERTZ ELINOR,Chief Financial Officer,,2026-04-08,D,491212.0,ABNB
58000,,Sale at price 124.75 - 127.02 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2026-04-06,I,7317456.0,ABNB
58000,,Sale at price 130.43 - 133.27 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2026-03-23,I,7685663.0,ABNB
58000,,Sale at price 128.72 - 134.07 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2026-03-09,I,7613827.0,ABNB
4308,,Sale at price 135.73 per share.,MERTZ ELINOR,Chief Financial Officer,,2026-03-05,D,584725.0,ABNB
3750,,Sale at price 130.00 per share.,MERTZ ELINOR,Chief Financial Officer,,2026-03-02,D,487500.0,ABNB
58000,,Sale at price 120.44 - 128.29 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2026-02-23,I,7074274.0,ABNB
255140,,,CHESKY BRIAN,Chief Executive Officer,,2026-02-20,I,,ABNB
4260,,Sale at price 125.29 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2026-02-20,D,533735.0,ABNB
400,,,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2026-02-19,I,,ABNB
58000,,Sale at price 120.73 - 122.19 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2026-02-09,I,7026717.0,ABNB
3750,,Sale at price 130.00 per share.,MERTZ ELINOR,Chief Financial Officer,,2026-02-02,D,487500.0,ABNB
58000,,Sale at price 131.71 - 134.15 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2026-01-26,I,7730261.0,ABNB
58000,,Sale at price 137.69 - 140.13 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2026-01-12,I,8030004.0,ABNB
3750,,Sale at price 135.94 per share.,MERTZ ELINOR,Chief Financial Officer,,2026-01-02,D,509775.0,ABNB
58000,,Sale at price 136.68 - 137.03 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-12-29,I,7928858.0,ABNB
2565,,Sale at price 134.15 - 135.01 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-12-19,D,345745.0,ABNB
1915,,Conversion of Exercise of derivative security at price 122.41 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-12-19,D,234415.0,ABNB
15263,,Sale at price 135.00 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-12-17,D,2060505.0,ABNB
11488,,Conversion of Exercise of derivative security at price 122.41 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-12-17,D,1406246.0,ABNB
58000,,Sale at price 128.74 - 132.04 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-12-15,I,7572587.0,ABNB
60000,,Sale at price 130.17 - 132.04 per share.,CHESKY BRIAN,Chief Executive Officer,,2025-12-15,I,7861124.0,ABNB
7500,,Sale at price 130.00 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-12-12,D,975000.0,ABNB
650,,Sale at price 128.93 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-12-12,D,83804.0,ABNB
4630,,Sale at price 125.00 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-12-09,D,578750.0,ABNB
177433,,Sale at price 121.62 - 124.42 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-12-09,I,21685726.0,ABNB
177433,,,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-12-09,I,,ABNB
16875,,Sale at price 125.19 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-12-09,D,2112627.0,ABNB
54072,,Sale at price 120.70 - 124.43 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-12-05,D/I,6665017.0,ABNB
56742,,,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-12-05,I,,ABNB
650,,Sale at price 120.92 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-12-05,D,78598.0,ABNB
117333,,Sale at price 120.22 - 120.52 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-12-04,D,14128611.0,ABNB
5162,,Sale at price 120.03 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-12-02,D,619572.0,ABNB
58000,,Sale at price 115.88 - 119.26 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-12-01,I,6871275.0,ABNB
1149,,Sale at price 116.04 - 116.71 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-12-01,D,133732.0,ABNB
2061404,,Stock Gift at price 0.00 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-11-28,I,0.0,ABNB
2811404,,,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-11-28,I,,ABNB
3307,,Sale at price 116.71 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-11-28,D,385960.0,ABNB
232000,,Sale at price 113.77 - 115.05 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-11-24,I,26500188.0,ABNB
600,,Sale at price 114.51 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-11-20,D,68706.0,ABNB
400,,,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-11-19,I,,ABNB
1991100,,,LIN ALFRED,Director,,2025-11-14,I,,ABNB
600,,Sale at price 121.38 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-11-13,D,72828.0,ABNB
236000,,Sale at price 119.92 - 122.37 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-11-10,I,28474625.0,ABNB
600,,Sale at price 122.38 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-11-06,D,73428.0,ABNB
600,,Sale at price 125.47 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-10-30,D,75282.0,ABNB
7500,,Sale at price 130.00 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-10-28,D,975000.0,ABNB
236000,,Sale at price 126.68 - 129.14 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-10-27,I,30318561.0,ABNB
12184,,Sale at price 127.65 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-10-24,D,1555288.0,ABNB
12184,,Conversion of Exercise of derivative security at price 29.96 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-10-24,D,364972.0,ABNB
600,,Sale at price 127.53 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-10-23,D,76518.0,ABNB
600,,Sale at price 124.26 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-10-16,D,74556.0,ABNB
236000,,Sale at price 118.73 - 119.36 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-10-13,I,28137090.0,ABNB
600,,Sale at price 120.46 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-10-09,D,72276.0,ABNB
600,,Sale at price 122.47 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-10-02,D,73482.0,ABNB
236000,,Sale at price 122.96 - 124.26 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-09-29,I,29162764.0,ABNB
600,,Sale at price 122.91 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-09-25,D,73746.0,ABNB
600,,Sale at price 123.74 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-09-18,D,74244.0,ABNB
236000,,Sale at price 119.93 - 122.23 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-09-15,I,28499875.0,ABNB
600,,Sale at price 123.68 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-09-11,D,74208.0,ABNB
600,,Sale at price 124.65 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-09-04,D,74790.0,ABNB
4630,,Sale at price 128.42 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-09-02,D,594585.0,ABNB
236000,,Sale at price 126.76 - 129.11 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-09-02,I,30096394.0,ABNB
262500,,Stock Gift at price 0.00 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-08-28,I,0.0,ABNB
1910500,,,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-08-28,I,,ABNB
600,,Sale at price 130.19 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-08-28,D,78114.0,ABNB
600,,Sale at price 124.96 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-08-21,D,74976.0,ABNB
2246,,Sale at price 125.20 per share.,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-08-20,D,281199.0,ABNB
400,,,BLECHARCZYK NATHAN,"Officer, Director and Beneficial Owner",,2025-08-19,I,,ABNB
236000,,Sale at price 124.79 - 125.44 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-08-18,I,29586130.0,ABNB
600,,Sale at price 123.62 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-08-14,D,74172.0,ABNB
600,,Sale at price 120.50 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-08-07,D,72300.0,ABNB
6250,,Sale at price 129.10 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-08-04,D,806875.0,ABNB
236000,,Sale at price 128.94 - 130.30 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-08-04,I,30611498.0,ABNB
600,,Sale at price 134.75 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-07-31,D,80850.0,ABNB
5000,,Sale at price 142.00 per share.,BERNSTEIN DAVID CHARLES,Officer,,2025-07-24,D,710000.0,ABNB
5000,,Conversion of Exercise of derivative security at price 40.18 per share.,BERNSTEIN DAVID CHARLES,Officer,,2025-07-24,D,200900.0,ABNB
600,,Sale at price 139.39 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-07-24,D,83634.0,ABNB
236000,,Sale at price 138.63 - 139.19 per share.,GEBBIA JOSEPH,Director and Beneficial Owner of more than 10% of a Class of Security,,2025-07-21,I,32763775.0,ABNB
600,,Sale at price 137.58 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-07-17,D,82548.0,ABNB
600,,Sale at price 137.21 per share.,BALOGH ARISTOTLE N,Chief Technology Officer,,2025-07-10,D,82326.0,ABNB
6250,,Sale at price 135.86 per share.,MERTZ ELINOR,Chief Financial Officer,,2025-07-07,D,849125.0,ABNB
