GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget,tic
2025-10-31 18:18:23,JP Morgan,Overweight,Overweight,main,Raises,305.0,290.0,AAPL
2025-10-31 17:29:44,Goldman Sachs,Buy,Buy,main,Raises,320.0,279.0,AAPL
2025-10-31 16:53:18,Jefferies,Hold,Underperform,up,Raises,246.99,203.07,AAPL
2025-10-31 16:10:20,TD Cowen,Buy,Buy,main,Raises,325.0,275.0,AAPL
2025-10-31 15:43:44,Argus Research,Buy,Buy,main,Raises,325.0,280.0,AAPL
2025-10-31 15:32:23,UBS,Neutral,Neutral,main,Raises,280.0,220.0,AAPL
2025-10-31 13:28:05,DA Davidson,Neutral,Neutral,main,Raises,270.0,250.0,AAPL
2025-10-31 12:36:55,Evercore ISI Group,Outperform,Outperform,main,Raises,300.0,290.0,AAPL
2025-10-31 12:08:30,Rosenblatt,Neutral,Neutral,main,Raises,250.0,241.0,AAPL
2025-10-31 11:04:07,Morgan Stanley,Overweight,Overweight,main,Raises,305.0,298.0,AAPL
2025-10-31 10:59:34,B of A Securities,Buy,Buy,main,Raises,325.0,320.0,AAPL
2025-10-29 11:35:21,B of A Securities,Buy,Buy,main,Raises,320.0,270.0,AAPL
2025-10-28 12:26:00,Baird,Outperform,Outperform,main,Raises,280.0,230.0,AAPL
2025-10-27 13:30:20,JP Morgan,Overweight,Overweight,main,Raises,290.0,280.0,AAPL
2025-10-21 19:18:17,Goldman Sachs,Buy,Buy,main,Raises,279.0,266.0,AAPL
2025-10-21 13:26:34,Wells Fargo,Overweight,Overweight,main,Raises,290.0,245.0,AAPL
2025-10-20 13:11:59,Loop Capital,Buy,Hold,up,Raises,315.0,226.0,AAPL
2025-10-03 12:50:53,Jefferies,Underperform,Hold,down,Lowers,205.16,205.82,AAPL
2025-10-02 12:45:02,Morgan Stanley,Overweight,Overweight,main,Raises,298.0,240.0,AAPL
2025-10-01 12:20:24,Seaport Global,Buy,,init,Announces,310.0,0.0,AAPL
2025-09-26 15:57:54,Evercore ISI Group,Outperform,Outperform,main,Raises,290.0,260.0,AAPL
2025-09-22 09:23:09,Wedbush,Outperform,Outperform,main,Raises,310.0,270.0,AAPL
2025-09-17 12:22:55,Tigress Financial,Strong Buy,Strong Buy,main,Raises,305.0,300.0,AAPL
2025-09-16 13:36:24,Bernstein,Outperform,,init,Announces,290.0,0.0,AAPL
2025-09-11 13:32:30,DA Davidson,Neutral,Buy,down,Maintains,250.0,250.0,AAPL
2025-09-11 11:17:31,Phillip Securities,Reduce,Neutral,down,Announces,200.0,0.0,AAPL
2025-09-10 17:51:03,Melius Research,Buy,Buy,main,Raises,290.0,260.0,AAPL
2025-09-10 14:07:00,B of A Securities,Buy,Buy,main,Raises,270.0,260.0,AAPL
2025-09-10 11:13:20,Rosenblatt,Neutral,Neutral,main,Raises,241.0,223.0,AAPL
2025-09-10 10:47:00,Evercore ISI Group,Outperform,Outperform,main,Raises,260.0,250.0,AAPL
2025-09-09 12:29:18,Wedbush,Outperform,Outperform,reit,Maintains,270.0,270.0,AAPL
2025-09-08 10:10:47,Jefferies,Hold,Hold,main,Raises,205.82,190.67,AAPL
2025-09-04 17:56:12,MoffettNathanson,Neutral,Sell,up,Announces,225.0,0.0,AAPL
2025-09-03 15:41:12,B of A Securities,Buy,Buy,main,Raises,260.0,250.0,AAPL
2025-09-03 14:25:00,Wedbush,Outperform,Outperform,reit,Maintains,270.0,270.0,AAPL
2025-08-27 17:59:13,Goldman Sachs,Buy,Buy,reit,Maintains,266.0,266.0,AAPL
2025-08-25 17:03:25,B of A Securities,Buy,Buy,reit,Maintains,250.0,250.0,AAPL
2025-08-21 12:40:16,Loop Capital,Hold,Hold,main,Lowers,226.0,230.0,AAPL
2025-08-14 20:33:45,Melius Research,Buy,Buy,main,Raises,260.0,240.0,AAPL
2025-08-13 09:42:48,Evercore ISI Group,Outperform,Outperform,main,Announces,250.0,0.0,AAPL
2025-08-08 20:33:45,Melius Research,Buy,Buy,main,Raises,260.0,240.0,AAPL
2025-08-08 20:28:24,Melius Research,Buy,Buy,main,Raises,260.0,246.0,AAPL
2025-08-07 13:02:36,Wedbush,Outperform,Outperform,reit,Maintains,270.0,270.0,AAPL
2025-08-07 10:50:27,B of A Securities,Buy,Buy,main,Raises,250.0,240.0,AAPL
2025-08-07 09:52:25,Wells Fargo,Overweight,Overweight,main,Maintains,245.0,245.0,AAPL
2025-08-01 21:39:28,DA Davidson,Buy,Buy,main,Maintains,250.0,250.0,AAPL
2025-08-01 20:04:51,Citigroup,Buy,Buy,main,Raises,245.0,240.0,AAPL
2025-08-01 16:02:55,JP Morgan,Overweight,Overweight,main,Raises,255.0,250.0,AAPL
2025-08-01 15:32:53,UBS,Neutral,Neutral,main,Raises,220.0,210.0,AAPL
2025-08-01 13:47:43,Wedbush,Outperform,Outperform,reit,Maintains,270.0,270.0,AAPL
2025-08-01 13:20:37,Raymond James,Outperform,Outperform,reit,Raises,240.0,230.0,AAPL
2025-08-01 12:52:06,Barclays,Underweight,Underweight,main,Raises,180.0,173.0,AAPL
2025-08-01 11:45:29,Rosenblatt,Neutral,Neutral,main,Raises,223.0,217.0,AAPL
2025-08-01 10:55:21,Morgan Stanley,Overweight,Overweight,main,Raises,240.0,235.0,AAPL
2025-08-01 10:45:10,B of A Securities,Buy,Buy,main,Raises,240.0,235.0,AAPL
2025-07-30 12:45:35,Wedbush,Outperform,Outperform,reit,Maintains,270.0,270.0,AAPL
2025-07-29 12:44:14,Rosenblatt,Neutral,Neutral,main,Maintains,217.0,217.0,AAPL
2025-07-25 10:02:52,Needham,Hold,Hold,reit,,0.0,0.0,AAPL
2025-07-17 19:07:12,JP Morgan,Overweight,Overweight,main,Raises,250.0,230.0,AAPL
2025-07-09 12:19:30,Wedbush,Outperform,Outperform,reit,Maintains,270.0,270.0,AAPL
2025-07-01 20:09:45,Jefferies,Hold,Underperform,up,Raises,188.32,170.62,AAPL
2025-06-26 12:38:11,JP Morgan,Overweight,Overweight,main,Lowers,230.0,240.0,AAPL
2025-06-10 13:52:03,Morgan Stanley,Overweight,Overweight,reit,Maintains,235.0,235.0,AAPL
2025-06-10 13:43:30,Wedbush,Outperform,Outperform,reit,Maintains,270.0,270.0,AAPL
2025-06-10 13:10:25,B of A Securities,Buy,Buy,reit,Maintains,235.0,235.0,AAPL
2025-06-10 10:23:40,Needham,Hold,Hold,reit,,0.0,0.0,AAPL
2025-06-05 17:37:27,Morgan Stanley,Overweight,Overweight,reit,Maintains,235.0,235.0,AAPL
2025-06-04 10:38:49,Needham,Hold,Buy,down,Maintains,225.0,225.0,AAPL
2025-05-16 14:29:37,Wedbush,Outperform,Outperform,reit,Maintains,270.0,270.0,AAPL
2025-05-03 20:21:20,JP Morgan,Overweight,Overweight,main,Lowers,240.0,245.0,AAPL
2025-05-02 19:37:30,B of A Securities,Buy,Buy,main,Lowers,235.0,240.0,AAPL
2025-05-02 17:56:57,Baird,Outperform,Outperform,main,Lowers,230.0,260.0,AAPL
2025-05-02 15:43:36,Wedbush,Outperform,Outperform,main,Raises,270.0,250.0,AAPL
2025-05-02 11:54:27,Rosenblatt,Neutral,Buy,down,Lowers,217.0,263.0,AAPL
2025-05-02 11:38:58,Jefferies,Underperform,Hold,down,Raises,170.62,167.88,AAPL
2025-05-02 11:31:26,DA Davidson,Buy,Buy,main,Raises,250.0,230.0,AAPL
2025-05-02 11:14:25,Needham,Buy,Buy,reit,Maintains,225.0,225.0,AAPL
2025-05-01 12:33:07,B of A Securities,Buy,Buy,reit,Maintains,250.0,250.0,AAPL
2025-05-01 11:36:38,Rosenblatt,Buy,Buy,main,Maintains,263.0,263.0,AAPL
2025-04-30 17:57:52,Loop Capital,Hold,Hold,main,Lowers,215.0,230.0,AAPL
2025-04-30 14:56:32,Barclays,Underweight,Underweight,main,Lowers,173.0,197.0,AAPL
2025-04-30 12:59:58,Raymond James,Outperform,Outperform,main,Lowers,230.0,250.0,AAPL
2025-04-29 12:43:37,Morgan Stanley,Overweight,Overweight,main,Raises,235.0,220.0,AAPL
2025-04-24 12:33:07,B of A Securities,Buy,Buy,reit,Lowers,240.0,250.0,AAPL
2025-04-23 16:14:28,Goldman Sachs,Buy,Buy,main,Lowers,256.0,259.0,AAPL
2025-04-23 13:54:55,UBS,Neutral,Neutral,main,Lowers,210.0,236.0,AAPL
2025-04-14 20:04:14,Goldman Sachs,Buy,Buy,main,Raises,259.0,242.0,AAPL
2025-04-14 19:58:56,Citigroup,Buy,Buy,main,Lowers,245.0,275.0,AAPL
2025-04-14 17:48:12,DA Davidson,Buy,Buy,main,Lowers,230.0,290.0,AAPL
2025-04-14 17:44:49,JP Morgan,Overweight,Overweight,main,Lowers,245.0,270.0,AAPL
2025-04-14 12:50:02,Keybanc,Sector Weight,Underweight,up,,0.0,0.0,AAPL
2025-04-14 11:01:13,Needham,Buy,Buy,reit,Maintains,225.0,225.0,AAPL
2025-04-09 11:53:24,Jefferies,Hold,Underperform,up,Lowers,167.88,202.33,AAPL
2025-04-08 21:57:01,Morgan Stanley,Overweight,Overweight,main,Lowers,220.0,252.0,AAPL
2025-04-08 20:06:32,Goldman Sachs,Buy,Buy,main,Lowers,242.0,294.0,AAPL
2025-04-08 14:55:30,Keybanc,Underweight,Underweight,main,Lowers,170.0,200.0,AAPL
2025-04-07 14:43:19,Wedbush,Outperform,Outperform,main,Lowers,250.0,325.0,AAPL
2025-04-04 10:24:43,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2025-04-03 12:33:16,B of A Securities,Buy,Buy,main,Lowers,250.0,265.0,AAPL
2025-04-03 11:17:14,Tigress Financial,Strong Buy,Strong Buy,main,Raises,300.0,295.0,AAPL
2025-04-03 11:12:23,Rosenblatt,Buy,Buy,main,Maintains,263.0,263.0,AAPL
2025-04-03 10:20:14,Jefferies,Hold,Hold,reit,Maintains,202.33,202.33,AAPL
2025-03-31 10:22:18,Goldman Sachs,Buy,Buy,reit,Maintains,294.0,294.0,AAPL
2025-03-18 11:12:50,Evercore ISI Group,Outperform,Outperform,main,Raises,275.0,260.0,AAPL
2025-03-14 13:51:36,Wedbush,Outperform,Outperform,reit,Maintains,325.0,325.0,AAPL
2025-03-12 12:12:22,Morgan Stanley,Overweight,Overweight,main,Lowers,252.0,275.0,AAPL
2025-03-03 13:56:49,Wedbush,Outperform,Outperform,reit,Maintains,325.0,325.0,AAPL
2025-02-19 11:25:26,Goldman Sachs,Buy,Buy,reit,Maintains,294.0,294.0,AAPL
2025-01-31 19:45:59,Citigroup,Buy,Buy,main,Raises,275.0,255.0,AAPL
2025-01-31 12:31:06,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2025-01-31 12:09:41,Morgan Stanley,Overweight,Overweight,main,Raises,275.0,273.0,AAPL
2025-01-31 12:06:20,Evercore ISI Group,Outperform,Outperform,main,Raises,260.0,250.0,AAPL
2025-01-31 12:04:11,B of A Securities,Buy,Buy,main,Raises,265.0,253.0,AAPL
2025-01-31 11:27:47,Barclays,Underweight,Underweight,main,Raises,197.0,183.0,AAPL
2025-01-31 11:24:37,JP Morgan,Overweight,Overweight,main,Raises,270.0,260.0,AAPL
2025-01-31 11:18:38,Jefferies,Underperform,Underperform,main,Raises,202.33,200.75,AAPL
2025-01-31 11:04:50,Goldman Sachs,Buy,Buy,main,Raises,294.0,280.0,AAPL
2025-01-31 08:10:29,TD Cowen,Buy,Buy,main,Raises,290.0,250.0,AAPL
2025-01-30 11:18:56,DA Davidson,Buy,Buy,main,Raises,290.0,260.0,AAPL
2025-01-29 12:25:37,Oppenheimer,Perform,Outperform,down,,0.0,0.0,AAPL
2025-01-29 11:23:29,Piper Sandler,Perform,Outperform,down,,0.0,0.0,AAPL
2025-01-28 08:13:10,TD Cowen,Buy,Buy,reit,Maintains,250.0,250.0,AAPL
2025-01-27 12:00:04,Rosenblatt,Buy,Buy,main,Maintains,262.0,262.0,AAPL
2025-01-24 11:49:46,B of A Securities,Buy,Buy,main,Lowers,253.0,256.0,AAPL
2025-01-23 16:21:27,Wedbush,Outperform,Outperform,reit,Maintains,325.0,325.0,AAPL
2025-01-23 11:11:15,Goldman Sachs,Buy,Buy,main,Lowers,280.0,286.0,AAPL
2025-01-22 12:16:48,Barclays,Underweight,Underweight,main,Lowers,183.0,184.0,AAPL
2025-01-21 14:39:51,Loop Capital,Hold,Buy,down,Lowers,230.0,275.0,AAPL
2025-01-21 13:22:46,JP Morgan,Overweight,Overweight,main,Lowers,260.0,265.0,AAPL
2025-01-21 11:58:59,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2025-01-21 11:37:01,Jefferies,Underperform,Hold,down,Lowers,200.75,211.84,AAPL
2025-01-07 10:20:57,MoffettNathanson,Sell,Neutral,down,Maintains,188.0,188.0,AAPL
2025-01-03 15:29:26,Bernstein,Outperform,Outperform,main,Raises,260.0,240.0,AAPL
2025-01-03 13:56:11,B of A Securities,Buy,Buy,main,Maintains,256.0,256.0,AAPL
2024-12-26 17:03:32,Wedbush,Outperform,Outperform,main,Raises,325.0,300.0,AAPL
2024-12-18 11:00:18,Daiwa Capital,Outperform,Outperform,main,Raises,275.0,255.0,AAPL
2024-12-13 14:28:55,Morgan Stanley,Overweight,Overweight,reit,Maintains,273.0,273.0,AAPL
2024-12-10 11:11:52,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2024-12-03 10:41:07,HSBC,Hold,,init,Announces,160.0,0.0,AAPL
2024-12-02 11:26:17,Jefferies,Hold,Hold,reit,Maintains,211.84,211.84,AAPL
2024-11-29 15:34:06,Wedbush,Outperform,Outperform,reit,Maintains,300.0,300.0,AAPL
2024-11-25 14:22:56,Morgan Stanley,Overweight,Overweight,reit,Maintains,273.0,273.0,AAPL
2024-11-20 10:50:37,Susquehanna,Positive,Positive,main,Lowers,210.0,230.0,AAPL
2024-11-15 11:28:38,Jefferies,Hold,Hold,reit,Maintains,211.84,211.84,AAPL
2024-11-04 10:54:32,Loop Capital,Buy,Buy,main,Lowers,275.0,300.0,AAPL
2024-11-01 18:16:16,Maxim Group,Hold,Hold,main,Raises,215.0,203.0,AAPL
2024-11-01 13:47:23,Barclays,Underweight,Underweight,main,Lowers,184.0,186.0,AAPL
2024-11-01 11:30:34,Rosenblatt,Buy,Buy,main,Raises,262.0,261.0,AAPL
2024-11-01 10:30:19,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2024-11-01 10:18:56,DA Davidson,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2024-11-01 09:52:44,Oppenheimer,Outperform,Outperform,reit,Maintains,250.0,250.0,AAPL
2024-11-01 09:46:33,HSBC,Hold,Hold,reit,Maintains,190.0,190.0,AAPL
2024-10-25 16:17:57,Keybanc,Underweight,Sector Weight,down,Announces,200.0,0.0,AAPL
2024-10-21 09:54:49,CFRA,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2024-10-03 17:20:35,B of A Securities,Buy,Buy,reit,Maintains,256.0,256.0,AAPL
2024-10-01 15:58:30,Barclays,Underweight,Underweight,main,Maintains,186.0,186.0,AAPL
2024-09-25 14:27:12,New Street Research,Neutral,Neutral,reit,Maintains,225.0,225.0,AAPL
2024-09-24 09:42:31,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2024-09-19 10:41:39,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2024-09-16 16:00:10,Evercore ISI Group,Outperform,Outperform,reit,Maintains,250.0,250.0,AAPL
2024-09-10 15:48:17,JP Morgan,Overweight,Overweight,main,Maintains,265.0,265.0,AAPL
2024-09-10 15:30:03,Oppenheimer,Outperform,Outperform,main,Maintains,250.0,250.0,AAPL
2024-09-10 13:10:16,Wedbush,Outperform,Outperform,main,Raises,300.0,285.0,AAPL
2024-09-10 13:07:33,B of A Securities,Buy,Buy,main,Maintains,256.0,256.0,AAPL
2024-09-10 13:01:55,Maxim Group,Hold,Hold,main,Maintains,203.0,203.0,AAPL
2024-09-10 12:59:45,Rosenblatt,Buy,Buy,main,Maintains,261.0,261.0,AAPL
2024-09-10 12:45:54,Morgan Stanley,Overweight,Overweight,main,Maintains,273.0,273.0,AAPL
2024-09-10 10:18:32,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2024-09-09 12:39:52,Wedbush,Outperform,Outperform,reit,Maintains,285.0,285.0,AAPL
2024-09-05 16:27:20,B of A Securities,Buy,Buy,main,Maintains,256.0,256.0,AAPL
2024-09-04 14:02:31,UBS,Neutral,Neutral,main,Raises,236.0,190.0,AAPL
2024-08-28 18:00:21,Tigress Financial,Strong Buy,Strong Buy,main,Raises,295.0,245.0,AAPL
2024-08-27 14:24:49,Citigroup,Buy,Buy,main,Maintains,255.0,255.0,AAPL
2024-08-27 12:21:40,Morgan Stanley,Overweight,Overweight,reit,Maintains,273.0,273.0,AAPL
2024-08-27 12:03:39,Evercore ISI Group,Outperform,Outperform,main,Maintains,250.0,250.0,AAPL
2024-08-27 11:39:43,B of A Securities,Buy,Buy,reit,Maintains,256.0,256.0,AAPL
2024-08-27 10:32:52,Melius Research,Buy,Buy,reit,Maintains,265.0,265.0,AAPL
2024-08-19 14:26:39,MoffettNathanson,Neutral,,init,Announces,211.0,0.0,AAPL
2024-08-06 16:12:26,Morgan Stanley,Overweight,Overweight,main,Maintains,273.0,273.0,AAPL
2024-08-05 19:33:19,Needham,Buy,Buy,reit,Maintains,260.0,260.0,AAPL
2024-08-02 17:44:09,Maxim Group,Hold,Hold,main,Raises,203.0,195.0,AAPL
2024-08-02 15:57:25,Rosenblatt,Buy,Buy,main,Raises,261.0,260.0,AAPL
2024-08-02 13:04:02,Wedbush,Outperform,Outperform,main,Raises,285.0,275.0,AAPL
2024-08-02 12:01:24,Goldman Sachs,Buy,Buy,main,Raises,275.0,265.0,AAPL
2024-08-02 11:19:02,Citigroup,Buy,Buy,main,Raises,255.0,210.0,AAPL
2024-08-02 11:14:53,Barclays,Underweight,Underweight,main,Lowers,186.0,187.0,AAPL
2024-07-29 17:04:14,TD Cowen,Buy,Buy,main,Raises,250.0,220.0,AAPL
2024-07-26 17:27:02,Raymond James,Outperform,Outperform,main,Raises,250.0,200.0,AAPL
2024-07-25 09:11:34,Baird,Outperform,Outperform,main,Raises,240.0,200.0,AAPL
2024-07-24 16:06:57,Barclays,Underweight,Underweight,main,Raises,187.0,164.0,AAPL
2024-07-24 12:25:40,JP Morgan,Overweight,Overweight,main,Raises,265.0,245.0,AAPL
2024-07-18 14:37:54,Goldman Sachs,Buy,Buy,main,Raises,265.0,238.0,AAPL
2024-07-17 18:19:22,CFRA,Buy,Buy,main,Raises,260.0,240.0,AAPL
2024-07-15 12:08:21,Loop Capital,Buy,Hold,up,Raises,300.0,170.0,AAPL
2024-07-15 09:41:27,Morgan Stanley,Overweight,Overweight,main,Raises,273.0,216.0,AAPL
2024-07-11 14:00:37,Wedbush,Outperform,Outperform,reit,Maintains,275.0,275.0,AAPL
2024-07-11 13:41:42,B of A Securities,Buy,Buy,main,Raises,256.0,230.0,AAPL
2024-07-10 10:37:55,Needham,Buy,Buy,main,Raises,260.0,220.0,AAPL
2024-07-09 17:17:35,B of A Securities,Buy,Buy,main,Maintains,230.0,230.0,AAPL
2024-07-01 13:35:35,UBS,Neutral,Neutral,main,Maintains,190.0,190.0,AAPL
2024-07-01 10:47:53,Needham,Buy,Buy,reit,Maintains,220.0,220.0,AAPL
2024-06-28 11:53:54,Oppenheimer,Outperform,Outperform,main,Raises,250.0,200.0,AAPL
2024-06-26 16:55:14,B of A Securities,Buy,Buy,main,Maintains,230.0,230.0,AAPL
2024-06-26 12:12:19,Rosenblatt,Buy,Neutral,up,Raises,260.0,196.0,AAPL
2024-06-25 14:31:50,Evercore ISI Group,Outperform,Outperform,main,Raises,250.0,220.0,AAPL
2024-06-24 17:24:31,Melius Research,Buy,Buy,main,Raises,260.0,227.0,AAPL
2024-06-21 09:46:10,Bernstein,Outperform,Outperform,main,Raises,240.0,195.0,AAPL
2024-06-18 13:44:54,JP Morgan,Overweight,Overweight,main,Raises,245.0,225.0,AAPL
2024-06-14 16:16:23,Erste Group,Buy,Hold,up,,0.0,0.0,AAPL
2024-06-12 11:35:48,B of A Securities,Buy,Buy,main,Maintains,230.0,230.0,AAPL
2024-06-11 14:11:41,DA Davidson,Buy,Neutral,up,Raises,230.0,200.0,AAPL
2024-06-11 13:29:16,Barclays,Underweight,Underweight,reit,Maintains,164.0,164.0,AAPL
2024-06-11 11:22:24,UBS,Neutral,Neutral,main,Maintains,190.0,190.0,AAPL
2024-06-11 11:20:46,Morgan Stanley,Overweight,Overweight,main,Maintains,216.0,216.0,AAPL
2024-06-11 11:08:47,Rosenblatt,Neutral,Neutral,reit,Maintains,196.0,196.0,AAPL
2024-06-11 10:22:57,JP Morgan,Overweight,Overweight,reit,Maintains,225.0,225.0,AAPL
2024-06-11 10:20:01,Needham,Buy,Buy,reit,Maintains,220.0,220.0,AAPL
2024-06-04 16:27:59,Morgan Stanley,Overweight,Overweight,main,Maintains,216.0,216.0,AAPL
2024-05-30 12:17:23,Tigress Financial,Strong Buy,Strong Buy,main,Raises,245.0,240.0,AAPL
2024-05-29 17:28:38,B of A Securities,Buy,Buy,main,Maintains,230.0,230.0,AAPL
2024-05-24 12:04:58,Wedbush,Outperform,Outperform,main,Raises,275.0,250.0,AAPL
2024-05-13 12:21:45,Wedbush,Outperform,Outperform,reit,Maintains,250.0,250.0,AAPL
2024-05-03 21:11:46,Canaccord Genuity,Buy,Buy,main,Raises,215.0,200.0,AAPL
2024-05-03 18:06:29,Itau BBA,Market Perform,Underperform,up,Announces,188.0,0.0,AAPL
2024-05-03 16:57:18,Morgan Stanley,Overweight,Overweight,main,Raises,216.0,210.0,AAPL
2024-05-03 16:42:22,B of A Securities,Buy,Buy,main,Raises,230.0,225.0,AAPL
2024-05-03 15:15:49,JP Morgan,Overweight,Overweight,main,Raises,225.0,210.0,AAPL
2024-05-03 14:14:36,Barclays,Underweight,Underweight,main,Raises,164.0,158.0,AAPL
2024-05-03 14:06:43,Wedbush,Outperform,Outperform,reit,Maintains,250.0,250.0,AAPL
2024-05-03 12:42:10,Rosenblatt,Neutral,Neutral,reit,Raises,196.0,189.0,AAPL
2024-05-03 10:46:59,Needham,Buy,Buy,reit,Maintains,220.0,220.0,AAPL
2024-04-29 13:25:14,Citigroup,Buy,Buy,main,Lowers,210.0,220.0,AAPL
2024-04-29 09:39:15,Bernstein,Outperform,Market Perform,up,Announces,195.0,0.0,AAPL
2024-04-22 12:23:34,Morgan Stanley,Overweight,Overweight,main,Lowers,210.0,220.0,AAPL
2024-04-17 15:04:18,Maxim Group,Hold,,init,Announces,178.0,0.0,AAPL
2024-04-16 09:57:38,Needham,Buy,Buy,reit,Maintains,220.0,0.0,AAPL
2024-04-11 12:00:59,JP Morgan,Overweight,Overweight,main,Lowers,210.0,215.0,AAPL
2024-04-09 12:14:30,Wedbush,Outperform,Outperform,reit,Maintains,250.0,0.0,AAPL
2024-04-01 15:05:32,Loop Capital,Hold,Hold,main,Lowers,170.0,185.0,AAPL
2024-03-28 10:30:35,DZ Bank,Hold,Buy,down,Announces,180.0,0.0,AAPL
2024-03-25 18:50:14,UBS,Neutral,Neutral,reit,Maintains,190.0,190.0,AAPL
2024-03-22 18:42:14,Morgan Stanley,Overweight,Overweight,reit,Maintains,220.0,220.0,AAPL
2024-03-21 19:09:58,Citigroup,Buy,Buy,main,Maintains,220.0,220.0,AAPL
2024-03-21 13:38:44,Wedbush,Outperform,Outperform,reit,Maintains,250.0,0.0,AAPL
2024-03-12 16:00:38,B of A Securities,Buy,Buy,reit,Maintains,225.0,0.0,AAPL
2024-03-08 16:27:10,Citigroup,Buy,Buy,main,Lowers,220.0,225.0,AAPL
2024-03-05 12:36:42,Rosenblatt,Neutral,Neutral,reit,Maintains,189.0,0.0,AAPL
