ticker,date,recommendation,conviction,sentiment_score,source_file
AVGO,2025-01-01,SELL,Medium,-0.361,AVGO_trade_recommendation_2025-01-01_20260422_022343.md
AVGO,2025-04-01,BUY,Medium,0.389,AVGO_trade_recommendation_2025-04-01_20260422_022424.md
AVGO,2025-07-01,SELL,Medium,0.181,AVGO_trade_recommendation_2025-07-01_20260422_022507.md
AVGO,2025-10-01,SELL,Medium,-0.503,AVGO_trade_recommendation_2025-10-01_20260422_013219.md
AVGO,2026-01-01,SELL,Medium,-0.368,AVGO_trade_recommendation_2026-01-01_20260422_022547.md
AVGO,2026-04-01,SELL,Medium,-0.436,AVGO_trade_recommendation_2026-04-01_20260422_022627.md
BAC,2025-01-01,SELL,High,-0.082,BAC_trade_recommendation_2025-01-01_20260422_022715.md
BAC,2025-04-01,SELL,High,-0.699,BAC_trade_recommendation_2025-04-01_20260422_022756.md
BAC,2025-07-01,BUY,Medium,-0.345,BAC_trade_recommendation_2025-07-01_20260422_022834.md
BAC,2025-10-01,HOLD,Medium,-0.031,BAC_trade_recommendation_2025-10-01_20260422_013253.md
BAC,2026-01-01,HOLD,Medium,-0.361,BAC_trade_recommendation_2026-01-01_20260422_022907.md
BAC,2026-04-01,SELL,Medium,-0.343,BAC_trade_recommendation_2026-04-01_20260422_022943.md
COST,2025-01-01,SELL,Medium,-0.039,COST_trade_recommendation_2025-01-01_20260422_023026.md
COST,2025-04-01,BUY,High,0.049,COST_trade_recommendation_2025-04-01_20260422_023103.md
COST,2025-07-01,SELL,Medium,-0.083,COST_trade_recommendation_2025-07-01_20260422_023144.md
COST,2025-10-01,HOLD,Medium,-0.235,COST_trade_recommendation_2025-10-01_20260422_013326.md
COST,2026-01-01,SELL,Medium,0.208,COST_trade_recommendation_2026-01-01_20260422_023222.md
COST,2026-04-01,SELL,Medium,-0.49,COST_trade_recommendation_2026-04-01_20260422_023256.md
CRM,2025-01-01,SELL,High,-0.005,CRM_trade_recommendation_2025-01-01_20260422_023339.md
CRM,2025-04-01,SELL,High,0.064,CRM_trade_recommendation_2025-04-01_20260422_023422.md
CRM,2025-07-01,SELL,High,-0.101,CRM_trade_recommendation_2025-07-01_20260422_023451.md
CRM,2025-10-01,SELL,High,-0.347,CRM_trade_recommendation_2025-10-01_20260422_013404.md
CRM,2026-01-01,SELL,High,-0.186,CRM_trade_recommendation_2026-01-01_20260422_023531.md
CRM,2026-04-01,SELL,High,-0.267,CRM_trade_recommendation_2026-04-01_20260422_023613.md
CVX,2025-01-01,SELL,Medium,-0.341,CVX_trade_recommendation_2025-01-01_20260422_023656.md
CVX,2025-04-01,HOLD,Medium,0.462,CVX_trade_recommendation_2025-04-01_20260422_023743.md
CVX,2025-07-01,SELL,Medium,-0.317,CVX_trade_recommendation_2025-07-01_20260422_023822.md
CVX,2025-10-01,HOLD,Medium,-0.157,CVX_trade_recommendation_2025-10-01_20260422_013450.md
CVX,2026-01-01,SELL,Medium,-0.196,CVX_trade_recommendation_2026-01-01_20260422_023911.md
CVX,2026-04-01,SELL,Medium,-0.119,CVX_trade_recommendation_2026-04-01_20260422_023952.md
GOOG,2025-01-01,SELL,Medium,0.2,GOOG_trade_recommendation_2025-01-01_20260422_024029.md
GOOG,2025-04-01,SELL,Medium,0.323,GOOG_trade_recommendation_2025-04-01_20260422_024126.md
GOOG,2025-07-01,SELL,Medium,-0.139,GOOG_trade_recommendation_2025-07-01_20260422_024202.md
GOOG,2025-10-01,SELL,Medium,-0.885,GOOG_trade_recommendation_2025-10-01_20260422_013534.md
GOOG,2026-01-01,SELL,Medium,-0.354,GOOG_trade_recommendation_2026-01-01_20260422_024246.md
GOOG,2026-04-01,SELL,Medium,-0.185,GOOG_trade_recommendation_2026-04-01_20260422_024314.md
HD,2025-01-01,SELL,High,-0.084,HD_trade_recommendation_2025-01-01_20260422_024357.md
HD,2025-04-01,SELL,High,-0.0,HD_trade_recommendation_2025-04-01_20260422_024437.md
HD,2025-07-01,SELL,High,-0.834,HD_trade_recommendation_2025-07-01_20260422_024537.md
HD,2025-10-01,SELL,High,0.147,HD_trade_recommendation_2025-10-01_20260422_013617.md
HD,2026-01-01,SELL,High,0.039,HD_trade_recommendation_2026-01-01_20260422_024630.md
HD,2026-04-01,SELL,High,-0.275,HD_trade_recommendation_2026-04-01_20260422_024713.md
KO,2025-01-01,SELL,Medium,-0.014,KO_trade_recommendation_2025-01-01_20260422_024753.md
KO,2025-04-01,SELL,Medium,-0.146,KO_trade_recommendation_2025-04-01_20260422_024833.md
KO,2025-07-01,BUY,Medium,0.099,KO_trade_recommendation_2025-07-01_20260422_024906.md
KO,2025-10-01,SELL,Medium,-0.244,KO_trade_recommendation_2025-10-01_20260422_013708.md
KO,2026-01-01,SELL,Medium,-0.183,KO_trade_recommendation_2026-01-01_20260422_024949.md
KO,2026-04-01,SELL,Medium,-0.167,KO_trade_recommendation_2026-04-01_20260422_025022.md
LLY,2025-01-01,HOLD,Medium,-0.173,LLY_trade_recommendation_2025-01-01_20260422_025105.md
LLY,2025-04-01,HOLD,Medium,0.087,LLY_trade_recommendation_2025-04-01_20260422_025150.md
LLY,2025-07-01,HOLD,Medium,-0.472,LLY_trade_recommendation_2025-07-01_20260422_025227.md
LLY,2025-10-01,HOLD,Medium,-0.713,LLY_trade_recommendation_2025-10-01_20260422_013751.md
LLY,2026-01-01,HOLD,Medium,-0.453,LLY_trade_recommendation_2026-01-01_20260422_025258.md
LLY,2026-04-01,HOLD,Medium,-0.544,LLY_trade_recommendation_2026-04-01_20260422_025336.md
MA,2025-01-01,BUY,Medium,-0.375,MA_trade_recommendation_2025-01-01_20260422_025414.md
MA,2025-04-01,SELL,Medium,-0.312,MA_trade_recommendation_2025-04-01_20260422_025452.md
MA,2025-07-01,SELL,Medium,-0.331,MA_trade_recommendation_2025-07-01_20260422_025543.md
MA,2025-10-01,BUY,Medium,-0.383,MA_trade_recommendation_2025-10-01_20260422_013843.md
MA,2026-01-01,SELL,Medium,-0.29,MA_trade_recommendation_2026-01-01_20260422_025623.md
MA,2026-04-01,SELL,Medium,-0.402,MA_trade_recommendation_2026-04-01_20260422_025701.md
META,2025-01-01,SELL,High,-0.246,META_trade_recommendation_2025-01-01_20260422_025738.md
META,2025-04-01,SELL,High,0.352,META_trade_recommendation_2025-04-01_20260422_025816.md
META,2025-07-01,SELL,High,-0.336,META_trade_recommendation_2025-07-01_20260422_025859.md
META,2025-10-01,SELL,High,-0.393,META_trade_recommendation_2025-10-01_20260422_013933.md
META,2026-01-01,SELL,High,-0.221,META_trade_recommendation_2026-01-01_20260422_025939.md
META,2026-04-01,SELL,High,-0.451,META_trade_recommendation_2026-04-01_20260422_030020.md
MSFT,2025-01-01,SELL,Medium,-0.012,MSFT_trade_recommendation_2025-01-01_20260422_030053.md
MSFT,2025-04-01,SELL,Medium,0.182,MSFT_trade_recommendation_2025-04-01_20260422_030129.md
MSFT,2025-07-01,SELL,Medium,-0.3,MSFT_trade_recommendation_2025-07-01_20260422_030210.md
MSFT,2025-10-01,SELL,Medium,-0.489,MSFT_trade_recommendation_2025-10-01_20260422_014012.md
MSFT,2026-01-01,SELL,Medium,-0.312,MSFT_trade_recommendation_2026-01-01_20260422_030252.md
MSFT,2026-04-01,SELL,Medium,-0.286,MSFT_trade_recommendation_2026-04-01_20260422_030327.md
NVDA,2025-01-01,HOLD,Medium,-0.4,NVDA_trade_recommendation_2025-01-01_20260422_030410.md
NVDA,2025-04-01,BUY,Medium,0.274,NVDA_trade_recommendation_2025-04-01_20260422_030445.md
NVDA,2025-07-01,SELL,Medium,-0.262,NVDA_trade_recommendation_2025-07-01_20260422_030522.md
NVDA,2025-10-01,HOLD,Medium,-0.289,NVDA_trade_recommendation_2025-10-01_20260422_014100.md
NVDA,2026-01-01,SELL,Medium,-0.35,NVDA_trade_recommendation_2026-01-01_20260422_030607.md
NVDA,2026-04-01,SELL,Medium,-0.437,NVDA_trade_recommendation_2026-04-01_20260422_030647.md
ORCL,2025-01-01,SELL,High,-0.423,ORCL_trade_recommendation_2025-01-01_20260422_030721.md
ORCL,2025-04-01,SELL,High,-0.253,ORCL_trade_recommendation_2025-04-01_20260422_030806.md
ORCL,2025-07-01,SELL,High,-0.218,ORCL_trade_recommendation_2025-07-01_20260422_030843.md
ORCL,2025-10-01,SELL,High,-0.416,ORCL_trade_recommendation_2025-10-01_20260422_014139.md
ORCL,2026-01-01,SELL,High,-0.265,ORCL_trade_recommendation_2026-01-01_20260422_030923.md
ORCL,2026-04-01,SELL,High,-0.355,ORCL_trade_recommendation_2026-04-01_20260422_030956.md
PEP,2025-01-01,SELL,Medium,-0.183,PEP_trade_recommendation_2025-01-01_20260422_031030.md
PEP,2025-04-01,SELL,Medium,-0.602,PEP_trade_recommendation_2025-04-01_20260422_031101.md
PEP,2025-07-01,SELL,Medium,-0.221,PEP_trade_recommendation_2025-07-01_20260422_031153.md
PEP,2025-10-01,HOLD,Medium,-0.091,PEP_trade_recommendation_2025-10-01_20260422_014222.md
PEP,2026-01-01,SELL,Medium,-0.213,PEP_trade_recommendation_2026-01-01_20260422_031238.md
PEP,2026-04-01,SELL,Medium,-0.483,PEP_trade_recommendation_2026-04-01_20260422_031318.md
PG,2025-01-01,HOLD,Medium,0.144,PG_trade_recommendation_2025-01-01_20260422_031356.md
PG,2025-04-01,HOLD,Medium,0.228,PG_trade_recommendation_2025-04-01_20260422_031431.md
PG,2025-07-01,HOLD,Medium,-0.52,PG_trade_recommendation_2025-07-01_20260422_031505.md
PG,2025-10-01,HOLD,Medium,-0.18,PG_trade_recommendation_2025-10-01_20260422_014308.md
PG,2026-01-01,SELL,Medium,-0.258,PG_trade_recommendation_2026-01-01_20260422_031540.md
PG,2026-04-01,SELL,Medium,-0.352,PG_trade_recommendation_2026-04-01_20260422_031629.md
TMO,2025-01-01,SELL,High,-0.249,TMO_trade_recommendation_2025-01-01_20260422_031726.md
TMO,2025-04-01,BUY,High,0.283,TMO_trade_recommendation_2025-04-01_20260422_031758.md
TMO,2025-07-01,SELL,High,-0.352,TMO_trade_recommendation_2025-07-01_20260422_031829.md
TMO,2025-10-01,HOLD,Medium,-0.35,TMO_trade_recommendation_2025-10-01_20260422_014338.md
TMO,2026-01-01,SELL,High,-0.469,TMO_trade_recommendation_2026-01-01_20260422_031912.md
TMO,2026-04-01,SELL,High,-0.215,TMO_trade_recommendation_2026-04-01_20260422_032006.md
TSLA,2025-01-01,SELL,Medium,-0.086,TSLA_trade_recommendation_2025-01-01_20260422_032037.md
TSLA,2025-04-01,SELL,Medium,0.18,TSLA_trade_recommendation_2025-04-01_20260422_032115.md
TSLA,2025-07-01,SELL,Medium,0.035,TSLA_trade_recommendation_2025-07-01_20260422_032201.md
TSLA,2025-10-01,SELL,Medium,-0.261,TSLA_trade_recommendation_2025-10-01_20260422_014419.md
TSLA,2026-01-01,SELL,Medium,-0.205,TSLA_trade_recommendation_2026-01-01_20260422_032228.md
TSLA,2026-04-01,SELL,Medium,0.059,TSLA_trade_recommendation_2026-04-01_20260422_032305.md
UNH,2025-01-01,SELL,Medium,0.141,UNH_trade_recommendation_2025-01-01_20260422_032348.md
UNH,2025-04-01,SELL,Medium,0.316,UNH_trade_recommendation_2025-04-01_20260422_032451.md
UNH,2025-07-01,SELL,Medium,-0.339,UNH_trade_recommendation_2025-07-01_20260422_032531.md
UNH,2025-10-01,SELL,Medium,-0.876,UNH_trade_recommendation_2025-10-01_20260422_014500.md
UNH,2026-01-01,SELL,Medium,-0.392,UNH_trade_recommendation_2026-01-01_20260422_032616.md
UNH,2026-04-01,SELL,Medium,0.055,UNH_trade_recommendation_2026-04-01_20260422_032708.md
V,2025-01-01,SELL,Medium,-0.185,V_trade_recommendation_2025-01-01_20260422_032756.md
V,2025-04-01,BUY,High,0.703,V_trade_recommendation_2025-04-01_20260422_032828.md
V,2025-07-01,SELL,High,-0.527,V_trade_recommendation_2025-07-01_20260422_032920.md
V,2025-10-01,HOLD,Medium,-0.166,V_trade_recommendation_2025-10-01_20260422_014537.md
V,2026-01-01,SELL,High,-0.152,V_trade_recommendation_2026-01-01_20260422_033012.md
V,2026-04-01,SELL,High,-0.542,V_trade_recommendation_2026-04-01_20260422_033055.md
WMT,2025-01-01,SELL,High,-0.196,WMT_trade_recommendation_2025-01-01_20260422_033143.md
WMT,2025-04-01,SELL,High,0.295,WMT_trade_recommendation_2025-04-01_20260422_033220.md
WMT,2025-07-01,SELL,High,-0.113,WMT_trade_recommendation_2025-07-01_20260422_033302.md
WMT,2025-10-01,SELL,Medium,-0.03,WMT_trade_recommendation_2025-10-01_20260422_014632.md
WMT,2026-01-01,SELL,High,0.011,WMT_trade_recommendation_2026-01-01_20260422_033405.md
WMT,2026-04-01,SELL,High,-0.358,WMT_trade_recommendation_2026-04-01_20260422_033501.md
XOM,2025-01-01,SELL,High,-0.202,XOM_trade_recommendation_2025-01-01_20260422_033540.md
XOM,2025-04-01,SELL,High,0.453,XOM_trade_recommendation_2025-04-01_20260422_033631.md
XOM,2025-07-01,SELL,High,-0.309,XOM_trade_recommendation_2025-07-01_20260422_033724.md
XOM,2025-10-01,SELL,High,0.051,XOM_trade_recommendation_2025-10-01_20260422_014714.md
XOM,2026-01-01,SELL,High,-0.278,XOM_trade_recommendation_2026-01-01_20260422_033804.md
XOM,2026-04-01,SELL,High,-0.218,XOM_trade_recommendation_2026-04-01_20260422_033848.md
